id,jenis,warna
778,0,3
779,1,3
780,1,2
781,0,1
782,1,3
783,0,3
784,1,1
785,1,3
786,1,2
787,0,3
788,0,3
789,0,4
790,0,2
791,0,2
792,0,3
793,0,0
794,0,1
795,0,0
796,0,1
797,0,2
798,0,1
799,0,4
800,1,2
801,1,3
802,0,0
803,1,1
804,0,3
805,1,3
806,0,3
807,0,3
808,1,2
809,0,4
810,0,1
811,0,0
812,1,2
813,0,2
814,0,0
815,0,3
816,1,3
817,0,2
818,0,3
819,0,3
820,1,1
821,1,2
822,0,3
823,0,1
824,1,4
825,0,2
826,1,0
827,0,0
828,1,4
829,1,4
830,1,1
831,0,4
832,0,4
833,1,2
834,0,4
835,0,0
836,1,4
837,0,2
838,0,3
839,0,3
840,1,3
841,0,0
842,0,0
843,1,4
844,1,3
845,0,4
846,1,3
847,0,1
848,0,3
849,0,0
850,0,4
851,1,2
852,0,4
853,1,3
854,0,2
855,0,0
856,1,1
857,0,3
858,1,1
859,0,0
860,0,0
861,0,3
862,1,3
863,1,2
864,0,3
865,0,1
866,0,0
867,0,4
868,1,2
869,1,2
870,0,4
871,1,2
872,1,2
873,0,3
874,1,4
875,0,4
876,0,2
877,1,1
878,1,3
879,1,2
880,1,3
881,0,3
882,0,2
883,1,3
884,1,3
885,1,3
886,1,4
887,1,3
888,0,2
889,0,0
890,0,2
891,0,0
892,1,0
893,0,2
894,0,2
895,1,3
896,0,1
897,0,3
898,1,1
899,0,3
900,0,4
901,0,0
902,0,4
903,0,3
904,1,1
905,1,3
906,0,2
907,1,1
908,0,4
909,1,3
910,1,1
911,1,3
912,0,3
913,1,3
914,0,3
915,0,2
916,0,3
917,1,3
918,0,3
919,0,0
920,0,4
921,0,0
922,1,3
923,1,3
924,0,4
925,1,3
926,0,2
927,0,2
928,1,3
929,0,0
930,0,2
931,0,4
932,0,0
933,1,4
934,1,4
935,0,0
936,0,3
937,1,4
938,0,1
939,0,2
940,0,0
941,1,1
942,0,0
943,0,0
944,0,3
945,0,2
946,0,1
947,0,1
948,1,2
949,1,1
950,0,1
951,0,4
952,0,4
953,0,1
954,0,1
955,0,0
956,0,1
957,0,2
958,1,2
959,0,3
960,0,1
961,1,4
962,0,3
963,0,2
964,1,3
965,1,4
966,1,2
967,0,0
968,0,0
969,1,3
970,1,3
971,0,1
972,1,1
973,0,1
974,1,1
975,0,4
976,1,4
977,0,3
978,1,0
979,1,1
980,0,1
981,1,0
982,0,1
983,0,1
984,0,4
985,1,4
986,1,3
987,0,3
988,0,2
989,1,2
990,0,3
991,1,1
992,1,3
993,0,4
994,0,4
995,0,4
996,0,2
997,0,3
998,0,1
999,0,3
1000,0,4
1001,1,1
1002,0,4
1003,1,2
1004,1,3
1005,0,3
1006,1,4
1007,0,0
1008,0,2
1009,0,3
1010,0,3
1011,0,3
1012,0,2
1013,0,0
1014,0,4
1015,1,3
1016,0,2
1017,1,2
1018,0,2
1019,0,2
1020,1,0
1021,1,2
1022,1,1
1023,0,4
1024,0,4
1025,0,4
1026,0,1
1027,0,4
1028,0,2
1029,1,3
1030,1,1
1031,0,2
1032,0,4
1033,1,0
1034,1,0
1035,0,4
1036,0,2
1037,1,3
1038,0,3
1039,1,1
1040,0,2
1041,1,2
1042,0,2
1043,0,0
1044,0,2
1045,1,4
1046,0,1
1047,0,3
1048,1,1
1049,0,0
1050,0,3
1051,0,4
1052,0,2
1053,1,0
1054,0,3
1055,1,3
1056,1,2
1057,0,3
1058,0,2
1059,0,1
1060,0,2
1061,0,2
1062,1,0
1063,0,1
1064,0,4
1065,0,2
1066,0,3
1067,1,3
1068,0,3
1069,1,3
1070,0,1
1071,1,4
1072,0,1
1073,1,4
1074,1,3
1075,0,4
1076,0,3
1077,1,3
1078,1,4
1079,0,1
1080,1,0
1081,0,3
1082,0,2
1083,1,0
1084,0,3
1085,0,0
1086,0,3
1087,1,4
1088,0,3
1089,0,2
1090,0,3
1091,0,2
1092,1,2
1093,0,0
1094,1,1
1095,0,4
1096,0,4
1097,0,3
1098,0,1
1099,1,3
1100,1,4
1101,0,3
1102,0,4
1103,1,4
1104,1,0
1105,1,0
1106,0,3
1107,1,0
1108,0,2
1109,0,2
1110,1,2
1111,1,0
